ID,County,Locality,Lat,Lon,Elev,Trap,StartDay,StartMonth,StartYear,EndDay,EndMonth,EndYear,Sex,Observer/Collector,Family,Genus,Species
PHPP17-1494,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,vane trap,26,vi,2018,5,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1495,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,vane trap,26,vi,2018,5,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1496,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,vane trap,26,vi,2018,5,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1497,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,vane trap,26,vi,2018,5,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1498,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,vane trap,26,vi,2018,5,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1499,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,vane trap,26,vi,2018,5,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-15,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,pan trap,15,vii,2017,16,vii,2017,female,M. P. Gavin,Halictidae,Lasioglossum,leucozonium
PHPP17-150,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,pan trap,15,vii,2017,16,vii,2017,female,M. P. Gavin,Halictidae,Lasioglossum,
PHPP17-1500,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,vane trap,26,vi,2018,5,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1501,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,vane trap,26,vi,2018,5,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1502,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,vane trap,26,vi,2018,5,vi,2018,female,S. Johnson,Apidae,Anthophora,bomboides
PHPP17-1503,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,vane trap,26,vi,2018,5,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1504,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,vane trap,26,vi,2018,5,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1505,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,vane trap,26,vi,2018,5,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1506,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,vane trap,26,vi,2018,5,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1507,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,vane trap,26,vi,2018,5,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1508,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,vane trap,26,vi,2018,5,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1509,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,vane trap,26,vi,2018,5,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-151,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,pan trap,15,vii,2017,16,vii,2017,male,M. P. Gavin,Halictidae,Halictus,confusus
PHPP17-1510,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,vane trap,26,vi,2018,5,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
