ID,County,Locality,Lat,Lon,Elev,Trap,StartDay,StartMonth,StartYear,EndDay,EndMonth,EndYear,Sex,Observer/Collector,Family,Genus,Species
PHPP17-1607,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Halictidae,Lasioglossum,zonulum
PHPP17-1609,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,male,S. Johnson,Apidae,Anthophora,bomboides
PHPP17-161,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,pan trap,15,vii,2017,16,vii,2017,male,M. P. Gavin,Halictidae,Lasioglossum,
PHPP17-1611,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Bombus,huntii
PHPP17-1612,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1613,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1616,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Anthophora,bomboides
PHPP17-1617,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Anthophora,bomboides
PHPP17-1618,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,male,S. Johnson,Apidae,Anthophora,bomboides
PHPP17-162,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,pan trap,15,vii,2017,16,vii,2017,female,M. P. Gavin,Halictidae,Lasioglossum,
PHPP17-1620,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,male,S. Johnson,Apidae,Anthophora,bomboides
PHPP17-1621,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Halictidae,Lasioglossum,zonulum
PHPP17-1622,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Bombus,huntii
PHPP17-1623,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1624,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1625,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Anthophora,bomboides
PHPP17-1626,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Bombus,bifarius
PHPP17-1627,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Anthophora,bomboides
