Specimen_ID,County,Locality,Lat,Lon,Elev,StartDay,StartMonth,StartYear,EndDay,EndMonth,EndYear,Method,Collector,FlowerSpp,Family,Genus,Species,Sex,Caste
CPP-36,City of Calgary,Pearce Estate Park,51.038638,-114.01649,1039,17,v,2020,17,v,2020,sweep net,M.Summers,Salix bebbiana,Apidae,Apis,mellifera,female,worker
CPP-37,City of Calgary,Pearce Estate Park,51.038638,-114.01649,1039,17,v,2020,17,v,2020,sweep net,M.Summers,Salix bebbiana,Apidae,Apis,mellifera,female,worker
CPP-38,City of Calgary,Pearce Estate Park,51.038638,-114.01649,1039,17,v,2020,17,v,2020,sweep net,M.Summers,Salix bebbiana,,,,,
CPP-39,City of Calgary,Pearce Estate Park,51.038638,-114.01649,1039,17,v,2020,17,v,2020,sweep net,M.Summers,Salix bebbiana,Andrenidae,Andrena,sp. 4,female,
CPP-40,City of Calgary,Pearce Estate Park,51.038638,-114.01649,1039,17,v,2020,17,v,2020,sweep net,M.Summers,Salix bebbiana,,,,,
CPP-41,City of Calgary,Pearce Estate Park,51.038638,-114.01649,1039,17,v,2020,17,v,2020,sweep net,M.Summers,Salix bebbiana,,,,,
CPP-42,City of Calgary,Pearce Estate Park,51.038638,-114.01649,1039,17,v,2020,17,v,2020,sweep net,M.Summers,Salix bebbiana,,,,,
CPP-43,City of Calgary,Pearce Estate Park,51.038638,-114.01649,1039,17,v,2020,17,v,2020,sweep net,M.Summers,Salix bebbiana,Halictidae,Lasioglossum,Dialictus sp. 12,female,
CPP-44,City of Calgary,Pearce Estate Park,51.038638,-114.01649,1039,17,v,2020,17,v,2020,sweep net,M.Summers,Salix bebbiana,Halictidae,Lasioglossum,Dialictus sp. 10,female,
CPP-45,City of Calgary,Pearce Estate Park,51.041642,-114.012179,1035,17,v,2020,17,v,2020,sweep net,M.Summers,Salix bebbiana,Apidae,Apis,mellifera,female,worker
CPP-46,City of Calgary,Pearce Estate Park,51.041642,-114.012179,1035,17,v,2020,17,v,2020,sweep net,M.Summers,Salix bebbiana,Apidae,Apis,mellifera,female,worker
CPP-47,City of Calgary,Pearce Estate Park,51.041642,-114.012179,1035,17,v,2020,17,v,2020,sweep net,M.Summers,Salix bebbiana,,,,,
CPP-48,City of Calgary,Pearce Estate Park,51.041642,-114.012179,1035,17,v,2020,17,v,2020,sweep net,M.Summers,Salix bebbiana,,,,,
CPP-49,City of Calgary,Pearce Estate Park,51.04108086,-114.0145871,1039,24,v,2020,24,v,2020,sweep net,M.Summers,Salix bebbiana,Apidae,Apis,mellifera,female,worker
CPP-50,City of Calgary,Pearce Estate Park,51.04108086,-114.0145871,1039,24,v,2020,24,v,2020,sweep net,M.Summers,Salix bebbiana,Apidae,Apis,mellifera,female,worker
CPP-51,City of Calgary,Pearce Estate Park,51.04108086,-114.0145871,1039,24,v,2020,24,v,2020,sweep net,M.Summers,Salix bebbiana,Halictidae,Halictus,rubicundus,female,
CPP-52,City of Calgary,Pearce Estate Park,51.04108086,-114.0145871,1039,24,v,2020,24,v,2020,sweep net,M.Summers,Salix bebbiana,Andrenidae,Andrena,sp. 4,female,
CPP-53,City of Calgary,Pearce Estate Park,51.04108086,-114.0145871,1039,24,v,2020,24,v,2020,sweep net,M.Summers,Salix bebbiana,Andrenidae,Andrena,sp. 4,female,
CPP-54,City of Calgary,Pearce Estate Park,51.04108086,-114.0145871,1039,24,v,2020,24,v,2020,sweep net,M.Summers,Salix bebbiana,Andrenidae,Andrena,sp. 4,female,
CPP-55,City of Calgary,Pearce Estate Park,51.04108086,-114.0145871,1039,24,v,2020,24,v,2020,sweep net,M.Summers,Salix bebbiana,,,,,
CPP-56,City of Calgary,Pearce Estate Park,51.04108086,-114.0145871,1039,24,v,2020,24,v,2020,sweep net,M.Summers,Salix bebbiana,,,,,
CPP-57,City of Calgary,Pearce Estate Park,51.04108086,-114.0145871,1039,24,v,2020,24,v,2020,sweep net,M.Summers,Salix bebbiana,Halictidae,Lasioglossum,sp. 1,female,
CPP-58,City of Calgary,Pearce Estate Park,51.04108086,-114.0145871,1039,24,v,2020,24,v,2020,sweep net,M.Summers,Salix bebbiana,Halictidae,Halictus,confusus,female,
CPP-59,City of Calgary,Pearce Estate Park,51.04108086,-114.0145871,1039,24,v,2020,24,v,2020,sweep net,M.Summers,Salix bebbiana,Halictidae,Lasioglossum,sp. 1,female,
CPP-60,City of Calgary,Pearce Estate Park,51.04108086,-114.0145871,1039,24,v,2020,24,v,2020,sweep net,M.Summers,Salix bebbiana,Halictidae,Lasioglossum,sp. 1,female,
CPP-61,City of Calgary,Pearce Estate Park,51.04108086,-114.0145871,1039,24,v,2020,24,v,2020,sweep net,M.Summers,Salix bebbiana,Halictidae,Lasioglossum,sp. 1,female,
CPP-62,City of Calgary,Pearce Estate Park,51.04108086,-114.0145871,1039,24,v,2020,24,v,2020,sweep net,M.Summers,Salix bebbiana,Halictidae,Lasioglossum,Dialictus sp. 12,female,
CPP-63,City of Calgary,Pearce Estate Park,51.04108086,-114.0145871,1039,24,v,2020,24,v,2020,sweep net,M.Summers,Salix bebbiana,,,,,
CPP-64,City of Calgary,Pearce Estate Park,51.04108086,-114.0145871,1039,24,v,2020,24,v,2020,sweep net,M.Summers,Salix bebbiana,,,,,
CPP-65,City of Calgary,Bowmont Park,51.086492,-114.168935,1072,24,v,2020,24,v,2020,sweep net,M.Summers,Salix sp.,Apidae,Apis,mellifera,female,worker
CPP-66,City of Calgary,Bowmont Park,51.086492,-114.168935,1072,24,v,2020,24,v,2020,sweep net,M.Summers,Salix sp.,Andrenidae,Andrena,Trachandrena sp. 1,female,
CPP-67,City of Calgary,Bowmont Park,51.086492,-114.168935,1072,24,v,2020,24,v,2020,sweep net,M.Summers,Salix sp.,Halictidae,Halictus,rubicundus,female,
CPP-68,City of Calgary,Bowmont Park,51.086492,-114.168935,1072,24,v,2020,24,v,2020,sweep net,M.Summers,Salix sp.,,,,,
CPP-69,City of Calgary,Bowmont Park,51.086492,-114.168935,1072,24,v,2020,24,v,2020,sweep net,M.Summers,Salix sp.,Halictidae,Lasioglossum,sp. 2,female,
CPP-70,City of Calgary,Bowmont Park,51.086492,-114.168935,1072,24,v,2020,24,v,2020,sweep net,M.Summers,Salix sp.,Halictidae,Lasioglossum,sp. 2,female,
CPP-71,City of Calgary,Bowmont Park,51.086492,-114.168935,1072,24,v,2020,24,v,2020,sweep net,M.Summers,Salix sp.,Halictidae,Lasioglossum,sp. 2,female,
CPP-72,City of Calgary,Bowmont Park,51.086492,-114.168935,1072,24,v,2020,24,v,2020,sweep net,M.Summers,Salix sp.,Halictidae,Lasioglossum,sp. 2,female,
CPP-73,City of Calgary,Bowmont Park,51.086492,-114.168935,1072,24,v,2020,24,v,2020,sweep net,M.Summers,Salix sp.,Halictidae,Lasioglossum,sp. 2,female,
CPP-74,City of Calgary,Bowmont Park,51.086492,-114.168935,1072,24,v,2020,24,v,2020,sweep net,M.Summers,Salix sp.,Halictidae,Lasioglossum,sp. 2,female,
CPP-75,City of Calgary,Bowmont Park,51.086492,-114.168935,1072,24,v,2020,24,v,2020,sweep net,M.Summers,Salix sp.,Halictidae,Lasioglossum,Dialictus sp. 8,female,
CPP-76,City of Calgary,Bowmont Park,51.086492,-114.168935,1072,24,v,2020,24,v,2020,sweep net,M.Summers,Salix sp.,Halictidae,Lasioglossum,Dialictus sp. 8,female,
CPP-77,City of Calgary,Bowmont Park,51.086492,-114.168935,1072,24,v,2020,24,v,2020,sweep net,M.Summers,Salix sp.,Halictidae,Lasioglossum,sp. 2,female,
CPP-78,City of Calgary,Bowmont Park,51.086492,-114.168935,1072,24,v,2020,24,v,2020,sweep net,M.Summers,Salix sp.,Halictidae,Lasioglossum,Dialictus sp. 8,female,
CPP-79,City of Calgary,Bowmont Park,51.086492,-114.168935,1072,24,v,2020,24,v,2020,sweep net,M.Summers,Salix sp.,Halictidae,Lasioglossum,Dialictus sp. 12,female,
CPP-80,City of Calgary,Sunnyside,51.055497,-114.077061,1029,25,v,2020,25,v,2020,sweep net,M.Summers,Amelanchier alnifolia,Andrenidae,Andrena,milwaukeensis,female,
CPP-81,City of Calgary,Sunnyside,51.060311,-114.072228,1029,25,v,2020,25,v,2020,sweep net,M.Summers,Ribes aureum,,,,,
CPP-82,City of Calgary,Bowmont Park,51.082755,-114.167557,1054,2,vi,2020,2,vi,2020,sweep net,M.Summers,Prunus virginiana,,,,,
CPP-83,City of Calgary,Bowmont Park,51.082755,-114.167557,1054,2,vi,2020,2,vi,2020,sweep net,M.Summers,Prunus virginiana,,,,,
CPP-84,City of Calgary,Bowmont Park,51.082755,-114.167557,1054,2,vi,2020,2,vi,2020,sweep net,M.Summers,Prunus virginiana,,,,,
CPP-85,City of Calgary,Bowmont Park,51.082755,-114.167557,1054,2,vi,2020,2,vi,2020,sweep net,M.Summers,Prunus virginiana,Halictidae,Lasioglossum,sp. 1,female,
CPP-86,City of Calgary,Bowmont Park,51.082755,-114.167557,1054,2,vi,2020,2,vi,2020,sweep net,M.Summers,Prunus virginiana,Halictidae,Lasioglossum,sp. 1,female,
CPP-87,City of Calgary,Bowmont Park,51.082755,-114.167557,1054,2,vi,2020,2,vi,2020,sweep net,M.Summers,Prunus virginiana,,,,,
CPP-88,City of Calgary,Bowmont Park,51.086132,-114.16837,1061,2,vi,2020,2,vi,2020,sweep net,M.Summers,Salix exigua,Andrenidae,Andrena,Trachandrena sp. 1,female,
CPP-89,City of Calgary,Bowmont Park,51.086132,-114.16837,1061,2,vi,2020,2,vi,2020,sweep net,M.Summers,Salix exigua,Andrenidae,Andrena,sp. 5,female,
CPP-90,City of Calgary,Bowmont Park,51.086132,-114.16837,1061,2,vi,2020,2,vi,2020,sweep net,M.Summers,Salix exigua,Andrenidae,Andrena,sp. 6,male,
CPP-91,City of Calgary,Bowmont Park,51.086132,-114.16837,1061,2,vi,2020,2,vi,2020,sweep net,M.Summers,Salix exigua,Andrenidae,Andrena,sp. 5,female,
CPP-92,City of Calgary,Bowmont Park,51.086132,-114.16837,1061,2,vi,2020,2,vi,2020,sweep net,M.Summers,Salix exigua,Andrenidae,Andrena,sp. 5,male,
CPP-93,City of Calgary,Bowmont Park,51.086132,-114.16837,1061,2,vi,2020,2,vi,2020,sweep net,M.Summers,Salix exigua,Apidae,Nomada,sp. 2,female,
CPP-94,City of Calgary,Bowmont Park,51.086132,-114.16837,1061,2,vi,2020,2,vi,2020,sweep net,M.Summers,Salix exigua,Halictidae,Lasioglossum,sp. 1,female,
